nbhd_id,nbhd_name,obese,nonsedent,soda_juice_1d,fruit5,binge,smoker,food_halfmile,HH_vehicle,crime_per_100k,havepark,healthgood,poppcp_ratio,colsig10y,mam2y,pap3y,cancer_mortality_comparison,cancer_mortality_rate
0,Overall Philadelphia,32.49,36.58,30.05,10.14,35.7,19.57,22.3,69.66,939.78094,75.67,78.3,1145.908817,72.41,83.72,85.26,NA,194.9830467
1,Center City E,19.29,43.04,22.21,13.16,40.89,14.34,0.72,57.56,983.5953985,89.36,88.38,312.2034016,76.06,82.7,86.2,Better,146.1
2,Schuylkill - Point Breeze,32.23,39.12,28.24,11.87,41.25,20.5,0,64.56,847.932726,83.57,82.86,1301.214563,74.72,85.57,85.88,No Different,199.1
3,Grays Ferry - Passyunk,35.37,38.41,29.63,9.62,35.66,21.33,13.4,69.91,939.9229003,70.21,78.83,1894.830075,75.99,83.53,85.41,No Different,194.4
4,Pennsport - Queen Village,27.25,38.54,20.81,10.56,41.31,12.22,0,70.95,478.4891599,91.9,89.52,600.2148905,67.22,72.94,84.32,No Different,194.6
5,Southwark - Bellavista,24.4,42.75,22.83,11.15,36.45,18.77,0,66.29,613.8997407,79.19,83.35,780.6437856,75.64,84.51,87.17,Better,159.4
6,Snyder - Whitman,26.57,36.94,26.72,8.52,41,22.84,19.46,69.68,615.4331703,77.2,79.43,1713.004023,74.14,80.4,81.56,No Different,183.3
7,South Broad - Girard Estates,27.63,38.74,25.38,11.85,44.25,23.36,10.9,63.52,694.0906775,75.37,80.92,1315.906417,71.53,81.85,83.72,No Different,202.4
8,Eastwick - Elmwood,37.82,31.72,35.02,8.62,31.76,17.94,11.59,67.95,902.9045643,75.67,73.91,2144.68995,73.94,87.87,84.8,No Different,207.7
9,Paschall - Kingsessing,38.43,30.86,38.46,8.6,28.24,19.73,6.63,53.58,1663.349795,66.64,74.37,3590.141191,74.64,80.92,87.01,Worse,227
